Nr:	 N:	 X:	 E:
1.46e-06	1.00989	0.504889	4.99144
1.47e-06	1.00988	0.504887	4.99287
1.48e-06	1.00988	0.504886	4.99428
1.49e-06	1.00988	0.504884	4.99575
1.5e-06	1.00988	0.504883	4.99722
1.51e-06	1.00988	0.504881	4.9987
1.52e-06	1.00988	0.504879	5.00021
1.53e-06	1.00988	0.504878	5.0017
1.54e-06	1.00987	0.504876	5.00322
1.55e-06	1.00987	0.504875	5.0047
1.56e-06	1.00987	0.504873	5.00623
1.57e-06	1.00987	0.504871	5.00773
1.58e-06	1.00987	0.50487	5.00925
1.59e-06	1.00987	0.504868	5.01077
1.6e-06	1.00986	0.504867	5.0123
1.61e-06	1.00986	0.504865	5.01387
1.62e-06	1.00986	0.504863	5.01543
1.63e-06	1.00986	0.504862	5.01704
1.64e-06	1.00986	0.50486	5.01863
1.65e-06	1.00986	0.504858	5.02025
1.66e-06	1.00985	0.504856	5.0219
1.67e-06	1.00985	0.504855	5.02352
1.68e-06	1.00985	0.504853	5.02518
1.69e-06	1.00985	0.504851	5.02681
1.7e-06	1.00985	0.50485	5.02846
1.71e-06	1.00985	0.504848	5.03013
1.72e-06	1.00984	0.504846	5.03178
1.73e-06	1.00984	0.504844	5.03343
1.74e-06	1.00984	0.504843	5.03512
1.75e-06	1.00984	0.504841	5.03678
1.76e-06	1.00984	0.504839	5.03846
1.77e-06	1.00983	0.504837	5.04019
1.78e-06	1.00983	0.504835	5.04191
1.79e-06	1.00983	0.504833	5.04364
1.8e-06	1.00983	0.504831	5.0454
1.81e-06	1.00983	0.50483	5.04717
1.82e-06	1.00983	0.504828	5.04893
1.83e-06	1.00982	0.504826	5.05072
1.84e-06	1.00982	0.504824	5.05255
1.85e-06	1.00982	0.504822	5.05436
1.86e-06	1.00982	0.50482	5.05616
1.87e-06	1.00982	0.504818	5.05799
1.88e-06	1.00981	0.504817	5.05982
1.89e-06	1.00981	0.504814	5.06164
1.9e-06	1.00981	0.504812	5.06345
1.91e-06	1.00981	0.504811	5.0653
1.92e-06	1.00981	0.504809	5.06717
1.93e-06	1.0098	0.504807	5.06902
1.94e-06	1.0098	0.504805	5.07087
1.95e-06	1.0098	0.504803	5.07274
1.96e-06	1.0098	0.5048	5.07463
1.97e-06	1.0098	0.504799	5.07653
1.98e-06	1.00979	0.504796	5.07842
1.99e-06	1.00979	0.504794	5.08033
2e-06	1.00979	0.504792	5.08228
2.01e-06	1.00979	0.50479	5.08426
2.02e-06	1.00979	0.504788	5.08622
2.03e-06	1.00978	0.504786	5.08819
2.04e-06	1.00978	0.504784	5.09017
2.05e-06	1.00978	0.504782	5.09219
2.06e-06	1.00978	0.50478	5.09421
2.07e-06	1.00978	0.504778	5.09622
2.08e-06	1.00977	0.504775	5.09822
2.09e-06	1.00977	0.504773	5.10025
2.1e-06	1.00977	0.504771	5.10231
2.11e-06	1.00977	0.504769	5.10437
2.12e-06	1.00977	0.504767	5.10643
2.13e-06	1.00976	0.504764	5.10847
2.14e-06	1.00976	0.504762	5.11053
2.15e-06	1.00976	0.50476	5.11261
2.16e-06	1.00976	0.504758	5.11469
2.17e-06	1.00975	0.504756	5.11678
2.18e-06	1.00975	0.504753	5.11886
2.19e-06	1.00975	0.504751	5.12095
2.2e-06	1.00975	0.504749	5.12304
2.21e-06	1.00975	0.504746	5.12518
2.22e-06	1.00974	0.504744	5.12733
2.23e-06	1.00974	0.504742	5.12948
2.24e-06	1.00974	0.50474	5.13164
2.25e-06	1.00974	0.504737	5.13379
2.26e-06	1.00973	0.504735	5.13597
2.27e-06	1.00973	0.504733	5.13816
2.28e-06	1.00973	0.50473	5.14038
2.29e-06	1.00973	0.504728	5.14262
